"hour","x","y","twitter","instagram"
9,110,106,1,1
9,111,79,0,1
9,111,105,0,1
9,113,91,0,1
9,114,76,0,4
9,114,81,0,2
9,116,37,1,0
9,116,72,1,0
9,116,81,0,1
9,117,78,0,1
9,117,79,0,4
9,117,81,0,1
9,118,78,0,1
9,118,80,0,1
9,118,81,0,1
9,118,103,1,0
9,119,78,0,8
9,119,79,0,2
9,119,98,0,1
9,120,74,0,1
9,120,78,0,2
9,120,86,0,1
9,121,77,0,2
9,121,78,0,1
9,121,79,0,1
9,122,67,0,1
9,122,73,0,1
9,122,78,0,1
9,122,80,0,1
9,122,83,0,1
9,123,76,0,1
9,124,36,0,1
9,124,63,1,1
9,124,74,0,1
9,125,68,0,1
9,125,79,0,2
9,125,93,0,1
9,126,58,0,2
9,126,70,0,1
9,126,74,0,1
9,126,83,0,1
9,126,120,0,3
9,127,58,0,2
9,127,81,0,1
9,127,86,0,1
9,128,72,0,1
9,128,73,0,1
9,129,68,0,1
9,129,69,0,2
9,129,76,0,1
9,129,91,0,1
9,130,76,1,1
9,130,79,0,1
9,131,67,0,1
9,131,70,1,0
9,131,72,0,3
9,131,73,2,6
9,131,75,0,1
9,131,76,1,2
9,131,80,0,1
9,131,81,0,1
9,132,58,0,1
9,132,70,0,1
9,132,73,0,3
9,132,74,0,4
9,132,76,0,1
9,132,81,0,1
9,133,53,0,1
9,133,56,0,1
9,133,85,0,2
9,133,95,0,1
9,133,103,0,1
9,134,64,0,4
9,134,66,0,3
9,134,67,0,1
9,134,68,0,1
9,134,73,0,1
9,134,76,0,1
9,134,81,0,1
9,134,87,0,1
9,134,95,0,1
9,135,69,0,2
9,135,76,0,1
9,135,95,0,1
9,135,100,0,1
9,135,110,0,1
9,136,70,0,3
9,136,71,0,1
9,136,72,0,2
9,136,74,0,3
9,136,76,0,1
9,136,80,0,1
9,136,85,0,1
9,137,62,0,1
9,137,65,0,9
9,137,67,0,2
9,137,68,0,2
9,137,71,0,1
9,137,73,0,3
9,137,77,0,1
9,137,78,0,1
9,137,84,1,1
9,138,61,1,0
9,138,64,0,1
9,138,66,0,1
9,138,67,0,5
9,138,69,0,2
9,138,71,0,1
9,138,72,0,5
9,138,79,4,185
9,139,19,0,1
9,139,49,0,1
9,139,50,0,1
9,139,56,0,1
9,139,69,0,1
9,139,74,0,1
9,140,32,0,1
9,140,57,0,1
9,140,61,0,1
9,140,68,0,1
9,140,84,0,1
9,140,92,0,2
9,141,58,0,1
9,141,69,1,0
9,141,70,0,8
9,141,72,0,1
9,141,73,0,1
9,141,78,0,1
9,141,96,0,1
9,142,52,0,1
9,142,60,1,1
9,142,63,0,1
9,142,64,0,1
9,142,66,0,1
9,142,69,0,1
9,143,63,0,1
9,143,79,1,15
9,143,80,0,1
9,144,55,0,1
9,144,62,0,1
9,144,90,0,1
9,144,132,0,1
9,145,57,0,1
9,145,80,0,1
9,145,83,0,1
9,145,85,0,1
9,146,63,0,1
9,146,64,1,2
9,146,82,0,1
9,146,83,0,1
9,147,77,0,1
9,147,81,0,1
9,147,83,0,1
9,147,85,0,1
9,147,86,0,1
9,147,87,0,1
9,148,73,0,1
9,148,76,0,1
9,148,82,0,2
9,148,87,1,0
9,148,94,1,1
9,149,62,0,1
9,149,74,0,1
9,149,77,0,4
9,149,90,0,1
9,150,70,0,1
9,150,78,0,7
9,150,79,0,1
9,151,90,0,1
9,151,101,1,0
9,152,70,0,2
9,152,72,0,4
9,152,73,0,3
9,152,78,0,1
9,152,100,0,1
9,153,55,0,1
9,153,80,0,1
9,154,38,1,0
9,154,71,0,1
9,154,74,0,1
9,155,71,0,7
9,155,79,0,1
9,156,71,0,2
9,156,75,1,2
9,156,78,0,1
9,157,66,0,1
9,157,83,0,1
9,157,84,0,1
9,158,70,0,1
9,160,67,0,1
9,160,79,0,1
9,163,99,0,1
9,164,67,0,1
9,165,71,0,2
9,165,87,0,1
9,167,106,0,1
9,167,115,0,1
9,169,94,0,1
9,169,115,0,1
9,170,70,1,0
9,172,78,0,1
9,174,65,0,3
9,179,52,0,2
9,179,95,0,1
9,180,64,0,1
9,182,64,1,1
9,188,98,0,1
9,189,71,0,1
9,192,61,0,1
9,208,105,0,1
10,79,86,0,1
10,85,68,0,1
10,90,66,0,1
10,90,114,0,1
10,93,105,0,1
10,94,112,0,1
10,99,77,1,1
10,100,107,0,1
10,103,81,0,2
10,103,104,0,2
10,105,79,0,7
10,105,80,1,0
10,106,100,0,1
10,107,57,0,6
10,107,58,0,1
10,107,78,0,1
10,108,72,0,2
10,109,72,0,1
10,109,73,0,1
10,110,65,1,1
10,110,68,0,1
10,110,77,0,1
10,110,91,0,1
10,111,82,0,1
10,113,76,0,1
10,113,81,0,1
10,113,86,0,2
10,114,76,0,1
10,114,86,0,1
10,114,104,0,1
10,115,52,0,1
10,115,82,0,1
10,115,96,0,1
10,116,37,1,0
10,116,72,1,0
10,116,80,0,1
10,116,99,0,1
10,117,79,0,2
10,117,80,0,1
10,117,81,0,1
10,117,83,0,1
10,118,78,0,1
10,118,80,0,1
10,118,103,1,0
10,119,78,0,9
10,119,79,0,1
10,120,57,0,1
10,120,78,0,4
10,120,93,0,1
10,121,66,0,1
10,121,73,0,1
